Yes,是,Yes,
No,否,No,
OK,好的,Ok,
Cancel,取消,Cancel,
Please Wait...,请等待……,PleaseWait,
Validate,确认,Valid,
Skip,跳过,Skip,
Back,返回,Back,
Reset Save,重置存档,ResetSave,
Game parameters,游戏参数,GameParameters,
System parameters,系统参数,SystemParameters,
Play,开始游玩,Play,
Credits,制作名单,Credits,
Quit,退出,Quit,
Settings,设置,Settings,
Help,帮助,Help,
Multiplayer,多人,Multiplayer,
Score:,分数：,Score:,
Cheater Mode,作弊模式,CheaterMode,
Languages,语言,Languages,
Master,达人,Master,
Music,音乐,Music,
FX,音效,FX,
Sounds,声音,Sounds,
Ambiance,环境,Ambiance,
Player Name,玩家名称,PlayerName,
Email,邮件,Email,
Newsletter,资讯,Newsletter,
Camera,摄像机,Camera,
World,世界,World,
Level,关卡,Level,
Points,点数,Points,
Tutorial,教程,Tutorial,
Player,玩家,Player,
or,或,or,
"An error occured, please try again later.",发生错误，请稍后重试。,Error_TryLater,
No internet access.,未接入因特网。,Error_NoInternet,
Login error. Double check the fields.,登录错误。再次检查下信息栏。,Error_Login,
WIN,胜利,EndWin,
LOSE,失败,EndLose,
Replay,回放,Replay,
© Exkee 2014-2015,© Exkee 2014-2015,Copyright,
1,1,WorldA,
2,2,WorldB,
3,3,WorldC,
4,4,WorldD,
5,5,WorldE,
6,6,WorldF,
Kill the Bad Guy,干死坏蛋,Kill,
Secondary Objective,次要目标,Secondary,
Kill him in 1 Day,在1天内干死他,OneDay,
Catch the tooth,抓住牙齿,Tooth,
Find the passport,找到护照,Passport,
Achieved level:,达到关卡：,CurrentLevel,
Total Stars:,总星数：,TotalStars,
Total Score:,总分：,TotalScore,
Achievements:,   成  就,Achievements,
Bonus Level,奖励关卡,BonusLevel,
Best Score:,最佳分数：,BestScore,
Primary Objective:,主要目标：,PrimaryMenu,
Secondary Objective:,次要目标：,SecondaryMenu,
Add your message,添加你的信息,EnterMessage,
your mother-in-law,你的岳母,YouKill_Choice1_2nd,
your teacher,你的老师,YouKill_Choice2_2nd,
your bank manager,你的银行经理,YouKill_Choice3_2nd,
your ex-wife,你的前妻,YouKill_Choice4_2nd,
your neighbor,你的邻居,YouKill_Choice5_2nd,
your neighbor's dog,你邻居的狗,YouKill_Choice6_2rd,
his mother-in-law,他的岳母,YouKill_Choice1_3rd,
his teacher,他的老师,YouKill_Choice2_3rd,
his bank manager,他的银行经理,YouKill_Choice3_3rd,
his ex-wife,他的前妻,YouKill_Choice4_3rd,
his neighbor,他的邻居,YouKill_Choice5_3rd,
his neighbor's dog,他邻居的狗,YouKill_Choice6_3rd,
English,中文,English,
Français,Français,French,
Italiano,Italiano,Italian,
Deutsch,Deutsch,German,
Español,Español,Spanish,
Português,Português,Brazilian,
Português,Português,Portuguese,
Español (Arg.),Español (Arg.),Argentinian,
Русский,Русский,Russian,
中国的,中文,Chinese,
日本語,日本語,Japanese,
한국의,한국의,Korean,
Twitch,Twitch,Twitch,
Twitch Login,Twitch登录,TwitchLogin,
Password,密码,Password,
Save infos,保存信息,SaveInfos,
Connection fail. Verify your informations and retry,连接失败。确认你的信息后重试,ConnectionFail,
{0}You are connected to {1} channel,{0}你已连接到{1}的频道,ChannelConnected,
{0}{1}{2}: {3},{0}{1}{2}: {3},ChatMessage,
